group,dataset,dataset_id,files,total_rr,A,AAAA,NS,SOA,MX,TXT,CNAME,DNAME,wildcard,rewrite_rr,rewrite_ratio,delegation_rr,delegation_ratio,avg_rr_per_file,max_rr_per_file,avg_owner_depth,max_owner_depth,category
files-100-500,virginia.edu,files-100-500/virginia.edu,126,2079,513,4,984,126,133,2,317,0,0,317,0.1524771524771525,1110,0.5339105339105339,16.5,582,3.378066378066378,7,rewrite-heavy
files-100-500,vivilotz.com,files-100-500/vivilotz.com,494,2965,494,0,1977,494,0,0,0,0,0,0,0.0,2471,0.833389544688027,6.002024291497976,369,3.6290050590219223,4,delegation-heavy
files-100-500,vn.ua,files-100-500/vn.ua,252,4129,1145,11,2188,252,322,84,127,0,0,127,0.03075805279728748,2440,0.590942116735287,16.384920634920636,2208,3.129571324775975,5,delegation-heavy
files-100-500,voxcdn.com,files-100-500/voxcdn.com,137,758,458,0,2,137,0,0,161,0,0,161,0.21240105540897097,139,0.18337730870712401,5.532846715328467,68,3.025065963060686,5,rewrite-heavy
files-100-500,vrn.ru,files-100-500/vrn.ru,193,2878,1358,20,843,193,346,57,61,0,0,61,0.0211952744961779,1036,0.35997220291869353,14.911917098445596,1538,3.166435024322446,5,delegation-heavy
files-100-500,w3wb.com,files-100-500/w3wb.com,148,738,585,0,2,148,2,0,1,0,0,1,0.0013550135501355014,150,0.2032520325203252,4.986486486486487,444,2.991869918699187,3,common-case
files-100-500,wa.gov,files-100-500/wa.gov,135,1689,458,1,742,135,142,29,182,0,0,182,0.10775606867969213,877,0.5192421551213736,12.511111111111111,442,3.3173475429248076,6,rewrite-heavy
files-100-500,warriorhall.com,files-100-500/warriorhall.com,211,1264,211,0,842,211,0,0,0,0,0,0,0.0,1053,0.8330696202531646,5.990521327014218,424,2.9968354430379747,3,delegation-heavy
files-100-500,warszawa.pl,files-100-500/warszawa.pl,275,6087,2310,4,2975,275,278,114,131,0,0,131,0.0215212748480368,3250,0.5339247576803022,22.134545454545453,4156,3.1230491210777065,6,delegation-heavy
files-100-500,washington.edu,files-100-500/washington.edu,391,5875,1814,28,2351,391,486,358,447,0,0,447,0.07608510638297872,2742,0.46672340425531916,15.025575447570333,1087,3.617872340425532,9,rewrite-heavy
files-100-500,wayport.net,files-100-500/wayport.net,111,922,123,3,663,111,12,0,10,0,0,10,0.010845986984815618,774,0.8394793926247288,8.306306306306306,209,3.6431670281995663,7,delegation-heavy
files-100-500,wblogin.com,files-100-500/wblogin.com,108,291,109,0,2,108,72,0,0,0,0,0,0.0,110,0.37800687285223367,2.6944444444444446,6,2.9828178694158076,3,delegation-heavy
files-100-500,wcpss.net,files-100-500/wcpss.net,101,491,122,0,202,101,24,0,42,0,0,42,0.0855397148676171,303,0.6171079429735234,4.861386138613861,150,2.983706720977597,4,rewrite-heavy
