dataset,zone_file,scenario,op,domain,type,rdata
files-100-500/virginia.edu,abcrc.virginia.edu..txt,A_ADD,ADD,__aether_veridns_inc__.abcrc.virginia.edu.,A,192.0.2.254
files-100-500/virginia.edu,abcrc.virginia.edu..txt,A_UPDATE,DEL,abcrc.virginia.edu.,A,128.143.42.53
files-100-500/virginia.edu,abcrc.virginia.edu..txt,A_UPDATE,ADD,abcrc.virginia.edu.,A,192.0.2.253
files-100-500/virginia.edu,abcrc.virginia.edu..txt,NS_UPDATE,DEL,abcrc.virginia.edu.,NS,emergency.virginia.edu.
files-100-500/virginia.edu,abcrc.virginia.edu..txt,NS_UPDATE,ADD,abcrc.virginia.edu.,NS,ns-inc.abcrc.virginia.edu.
files-100-500/virginia.edu,abcrc.virginia.edu..txt,CNAME_UPDATE,DEL,www.abcrc.virginia.edu.,CNAME,amazon.evsc.virginia.edu.
files-100-500/virginia.edu,abcrc.virginia.edu..txt,CNAME_UPDATE,ADD,www.abcrc.virginia.edu.,CNAME,cname-inc.abcrc.virginia.edu.
files-100-500/vivilotz.com,10-greatest-guitar-players.aoo.vivilotz.com..txt,A_ADD,ADD,__aether_veridns_inc__.10-greatest-guitar-players.aoo.vivilotz.com.,A,192.0.2.254
files-100-500/vivilotz.com,10-greatest-guitar-players.aoo.vivilotz.com..txt,A_UPDATE,DEL,10-greatest-guitar-players.aoo.vivilotz.com.,A,208.87.35.105
files-100-500/vivilotz.com,10-greatest-guitar-players.aoo.vivilotz.com..txt,A_UPDATE,ADD,10-greatest-guitar-players.aoo.vivilotz.com.,A,192.0.2.253
files-100-500/vivilotz.com,10-greatest-guitar-players.aoo.vivilotz.com..txt,NS_UPDATE,DEL,10-greatest-guitar-players.aoo.vivilotz.com.,NS,buy.internettraffic.com.
files-100-500/vivilotz.com,10-greatest-guitar-players.aoo.vivilotz.com..txt,NS_UPDATE,ADD,10-greatest-guitar-players.aoo.vivilotz.com.,NS,ns-inc.10-greatest-guitar-players.aoo.vivilotz.com.
files-100-500/vn.ua,09.vn.ua..txt,A_ADD,ADD,__aether_veridns_inc__.09.vn.ua.,A,192.0.2.254
files-100-500/vn.ua,09.vn.ua..txt,A_UPDATE,DEL,09.vn.ua.,A,78.47.182.129
files-100-500/vn.ua,09.vn.ua..txt,A_UPDATE,ADD,09.vn.ua.,A,192.0.2.253
files-100-500/vn.ua,09.vn.ua..txt,NS_UPDATE,DEL,09.vn.ua.,NS,ns1.09.ua.
files-100-500/vn.ua,09.vn.ua..txt,NS_UPDATE,ADD,09.vn.ua.,NS,ns-inc.09.vn.ua.
files-100-500/vn.ua,4x4.vn.ua..txt,CNAME_UPDATE,DEL,www.4x4.vn.ua.,CNAME,4x4.vn.ua.
files-100-500/vn.ua,4x4.vn.ua..txt,CNAME_UPDATE,ADD,www.4x4.vn.ua.,CNAME,cname-inc.4x4.vn.ua.
